STRTNO,SIZE,year,yng,DEPLY,size2,surv
1,24,1,0,1,576,0
1,24,2,0,1,576,1
1,24,3,14,1,576,0
1,24,4,19,1,576,1
1,24,5,16,1,576,1
1,24,6,24,1,576,0
1,24,7,19,1,576,0
1,24,8,0,1,576,1
2,7.19,1,0,1,51.6961,0
2,7.19,2,10,1,51.6961,0
2,7.19,3,11,1,51.6961,0
2,7.19,4,10,1,51.6961,1
2,7.19,5,22,1,51.6961,1
2,7.19,6,12,1,51.6961,0
2,7.19,7,6,1,51.6961,0
2,7.19,8,19,1,51.6961,1
3,0.73,1,0,1,0.5329,0
3,0.73,2,0,1,0.5329,0
3,0.73,3,0,1,0.5329,0
3,0.73,4,0,1,0.5329,0
3,0.73,5,0,1,0.5329,0
3,0.73,6,0,1,0.5329,0
3,0.73,7,0,1,0.5329,0
3,0.73,8,0,1,0.5329,0
4,0.31,1,0,0,0.0961,0
4,0.31,2,0,0,0.0961,0
4,0.31,3,0,0,0.0961,0
4,0.31,4,9,0,0.0961,0
4,0.31,5,0,0,0.0961,0
4,0.31,6,0,0,0.0961,0
4,0.31,7,0,0,0.0961,0
4,0.31,8,0,0,0.0961,0
5,0,1,0,0,0,0
5,0,2,0,0,0,0
5,0,3,0,0,0,0
5,0,4,0,0,0,0
5,0,5,0,0,0,0
5,0,6,0,0,0,0
5,0,7,0,0,0,0
5,0,8,0,0,0,0
6,2.99,1,0,1,8.9401,0
6,2.99,2,8,1,8.9401,0
6,2.99,3,0,1,8.9401,0
6,2.99,4,0,1,8.9401,0
6,2.99,5,0,1,8.9401,0
6,2.99,6,0,1,8.9401,0
6,2.99,7,0,1,8.9401,0
6,2.99,8,0,1,8.9401,0
7,0.43,1,0,0,0.1849,0
7,0.43,2,0,0,0.1849,0
7,0.43,3,0,0,0.1849,0
7,0.43,4,0,0,0.1849,0
7,0.43,5,0,0,0.1849,0
7,0.43,6,0,0,0.1849,1
7,0.43,7,0,0,0.1849,0
7,0.43,8,0,0,0.1849,0
8,0,1,0,0,0,0
8,0,2,0,0,0,1
8,0,3,0,0,0,0
8,0,4,0,0,0,0
8,0,5,7,0,0,0
8,0,6,0,0,0,0
8,0,7,10,0,0,0
8,0,8,12,0,0,0
9,5.4,1,16,1,29.16,1
9,5.4,2,0,1,29.16,0
9,5.4,3,0,1,29.16,1
9,5.4,4,0,1,29.16,0
9,5.4,5,0,1,29.16,1
9,5.4,6,0,1,29.16,1
9,5.4,7,0,1,29.16,0
9,5.4,8,0,1,29.16,1
